country,market_segment,adults,children,babies,customer_id
PRT,Direct,3,1,0,b63e25edc354d418c7a279932d125d3a2ec4658b751112e48db2b2f0a488ee39
SWE,Offline TA/TO,2,0,0,6ea645d15d856f6fbceeb3bbe3c623fa555533b95f35e5cd89fb5d0ca6f3eb64
USA,Corporate,1,0,0,8d5623a68626cab3d19c6ec377884ccf323afdeaa4de470a803271ab8e673f49
USA,Direct,3,0,0,35898396d24b45cf060b6e01a46f28fee9a1b2939a60c576f69f0333534471f3
AGO,Direct,1,0,0,ff1a48aa74336e37b9f08f1efc6b4adc04b12d4ca70dfbbc3cd74881db94009e
ITA,Online TA,3,1,0,748278c32833c45f53c8ebab0db3cfc4f82f4c6c9e8c42c64f3ce2d252b410a8
HUN,Direct,1,0,0,ca3d965526765f8f00ee5b169a399ad99c0c684d88cee16d02434a940577395f
GBR,Online TA,1,2,0,1b3949fb20b8b8c06536e65b09c55151392d9d851b91aaea83bdfc3903cec50c
MYS,Online TA,2,0,0,299e819d6ad7fbf3558a95294874898c4a9868df02efa543214ed76e9679b594
POL,Complementary,1,0,0,572a7c83e56faea5275baf9dd5ecdbec36f7954104b9f3d7c8a0e6d55bf5c1d9
BIH,Direct,2,0,0,282253940d84cf08f79651eb8b4e9422815873a24a4c4da04b9ed7ce3f42e666
FRA,Online TA,2,2,0,dc063dea88b3f52e031c6f7fd540cbafae4ea50c0f4f9ba50482b95d76f5bd8b
EST,Offline TA/TO,2,0,0,cc56352264b0d7a6237d781e1365218e7a062d14617be45de2545539c6cda4e8
CYP,Corporate,2,0,0,b89eee5e422433369dcd60a87e85929a42975d4e8c5ac890cae7ccd86870707c
JOR,Online TA,2,0,0,85d60cd89f6b5252e6abbf4276bb3b814f071d1c901ff5808081b3eb691c53e8
HRV,Direct,2,0,0,bb465bb1cf75a9fa61b690b818bd1fbf1b17a24ed62622ac6459c39adc5227fd
NGA,Offline TA/TO,2,0,1,9feadda421b633d1351bf1fc5e4461eff464ea6ef2aac4af89b7e60b0d5fd66e
PRT,Online TA,3,1,0,dc47bf3990327057b622923d15afdcdf0c91599fe69bd15f8eb3eb157b516f92
GBR,Offline TA/TO,2,1,0,7be084a24739c935c5b96a03f07a9295dcc35cd43b15bf5693f3e72b6e31ccfe
USA,Corporate,2,0,0,b1c64af856e79c51895641a8d8457342a73ca0d187280f21dc1107b09b2fc8b8
SWE,Online TA,2,1,0,07416d84ef34c909383a9d776a9829d8d0cbe4a718f423a23ebe44042eed5a2b
ZAF,Online TA,1,0,0,cd938b675e8544e4fb3b93119c3771732627bb7a9018629e4f971c1e3e2ff2d5
JPN,Corporate,2,0,0,6a630342f43d4d29b00de9427917ac6d16194fea6f7e5221e047fefc81376e25
SWE,Online TA,3,0,0,a23cf40de84f58ad36ce330ac4ac21b722b380ac31a461407b87fd5c1391b653
CN,Offline TA/TO,2,0,0,b86a31be72903b562d6ca1142443df8e84e2ca0a16767553a75de86857f68637
BRA,Complementary,2,2,0,4a79bcc6eebe417fa547fb939f788c91f990d3529c081b041cb30db144afafed
GBR,Offline TA/TO,1,1,0,9c18d79321ac533a98073cb43d31bb4ffa667a1a7aa6e3179c8eacadd5a9d068
IND,Direct,3,0,0,25a923ac13bd02a42e1960aa88ddda1bd8094e9cb7af30a25f1d32a00bd2f741
AUS,Direct,2,2,0,2365438ba8cc5d76d88ea463134c5212cff0cde0de3ff03c378af3e67a262ae8
NZL,Online TA,1,0,0,750181947c73238b2e1e7c3672a628df7f60e6e5281d699d366ee53173824d2e
ARG,Direct,1,0,0,083497d5fd92e307002c7ef467a1ca3128497c08e3cb70b3875cc5c67cc90531
IRL,Online TA,3,1,0,b2a19cc80b2a79f6574946ea81165dbd8a384df95971962d1517eaf6269fa3fa
FRA,Online TA,2,1,1,42cedda99a6f0850358549afc41712bc9c040064e9e2d56b6053eebcf4fc0110
IRL,Direct,2,2,0,600008bfe87129d4b0b24bc78e2cec7dc68d74e36802ffbbd795d54d6f934315
POL,Direct,2,2,0,e7ec2795990868c7644008ede94ce58c56f68f15f9c04902f74c9c0294a9bec5
ESP,Direct,2,1,1,d817960d1b33fe35ebd50e204abc008bc2722cdc9b907cf827b35c43deed6eb8
FRA,Direct,2,1,0,a0d772a759d6c2d960c30c4ce0a8e2b6d90894ea06825aba71bd447c704f0f1b
LTU,Online TA,2,2,0,27ebe725f6e04706760f452f1644d5e0731c50470c180423f8aeae96f741c126
NOR,Online TA,1,2,0,a5a5f2f22b831aa5fe81607767c3da7e3cf5cccc3ce3fb400445f887dd0abadd
ROU,Offline TA/TO,1,0,0,48a31d071673bb92050f1ec21df8091ff4c1df2e3e2edf422427e44946acc5bf
IRL,Direct,2,1,1,9676e848b53b88c2fc2217993e0eccb717320ac87966dbf0ca0e1bb06c2c31b4
CHE,Direct,2,1,1,31cef6c5de2d2b2be2a62c31bb0458fb021454cbd4f5c95972c5218ed6c25cdb
DEU,Corporate,2,0,0,329570b7d6c08e2f77f375652a24c102b2433471250daf34c026a3acb6f4accc
PRT,Corporate,0,0,0,924dca7d6ec3c774928d5589016aa5c31da18713f993b1d73b34578e11ac7d4c
NULL,Offline TA/TO,1,0,0,049be1b1c8e00c6b3c3eda5780ebafdbcd9bd5be7b7d0cbdb8bd9d8336ef8b36
ITA,Direct,2,2,0,c97b63e24e88656ba95c65a9c9acf6618f7c1730b1552f02a9cdf74d75a361fe
ARG,Offline TA/TO,2,0,1,1677b228551e195bb293c56eefabe2f944656c673e0af0f55facf510b9769313
NZL,Direct,2,0,0,66f0c12a8f8757d7111777805c4877401e2c56ece02d662eb4a9838d6d09781d
PRT,Online TA,2,3,0,1147e80f3ae29583debee97b8751b6d2742e1f5de85ed0edaa4d6fc325b0edf3
HUN,Online TA,2,0,0,ac66e22a8063d9db0cfb393d27e51a807aa8a0f49ca6c5fa3bda7c40c3ef57a8
IRL,Groups,3,0,0,25ea0c21185c0cfb8cc1591345ac54ce5f3ef1bd52f3d09c484163185d0b33ec
NULL,Online TA,2,0,0,c3c507d95253e4f0f8796d6c19d3918917c24cd28d00b116b3013c3928b1dc7c
AUS,Offline TA/TO,1,0,0,e30207654da7d93944204f6841071daa199d233ab609f9051f83163d465b573d
