hotel,meal,distribution_channel,hotel_id
Resort Hotel,HB,Corporate,ab82e37b3b1f3a86ec88a2890fc50d5bf839a583897aeb800c162b2ce95e1fe3
Resort Hotel,BB,TA/TO,51045618b425fff6268af129dbfa3e2b034258db89b97b6712405b088ffd1c7d
Resort Hotel,SC,TA/TO,e15734def443a2a420872ddc2c1eaa392d43cc8c3fcf3b88bd7dcd5f068bd7dc
Resort Hotel,SC,Corporate,d08ab407c9f55206383b8e5989b8868247986c099edb67c107035393378a0741
Resort Hotel,HB,Undefined,febb2f42b04492250f3a48aa3213b7289c156d290dee5dffa6bf719bbfee8152
Resort Hotel,HB,TA/TO,5a839a48059ba2226388a5be88335c79a589482e2f52964e738d03f8332b589c
Resort Hotel,BB,Corporate,54d8cfa8c21159eef8b6377859d9b490400e6e976d3012a380d705dc74915fe8
Resort Hotel,SC,Direct,3fda3f39c1d06b4177f757d4586e61969d1caf90031749d6d307d0b45a808850
Resort Hotel,HB,Direct,45614ef56eff4e8ef1e9c5acb1db6eae59a1f751631d4f29ca52ed503322dd29
Resort Hotel,FB,TA/TO,b58be28b77e3a7d3611d9fbce2557d8721b7006dd492663832f56603b74db7cf
Resort Hotel,FB,Direct,e5c6591d16bb09a736e951af99ee179370ed628ba429c8edd444b33ec21027cf
Resort Hotel,Undefined,Corporate,c6ef2c94e73339e5d6f4316a9e9c4536cfa377bc6d898d992a38ecb0086941b9
Resort Hotel,Undefined,Direct,d308754f01006d6ea47fc8ebfe91a58300e2ffc8676eb2133e91d51fb62ba324
Resort Hotel,Undefined,TA/TO,1d287d68565439435dbe6ebb95d260e23ab9586a73579fdf926116acf53a6a24
Resort Hotel,BB,Direct,933bb73ed4b221ad51288f1730c4dc68e258afc885a75ec485e689d3ac43befb
Resort Hotel,FB,Corporate,9c7a96413ea198ea11524c6a99dd447a40b418b7711796a092bf7fb01b4c1abd
City Hotel,FB,TA/TO,571c583b84f691dca9d723dd4235972c07492fe3aab133d3418ef8b846a494dd
City Hotel,SC,Corporate,ee1e96d016702421b507246a5c298e122563ccae2e64bef7a2cf1e4fb267c860
City Hotel,BB,TA/TO,01f16fe5b1d52a1045b288d380bad28b6dffd8c3d909a938687539ea4abf8f3b
City Hotel,HB,Direct,87f0c187245d2c2b2a2c49b8fbf9cf6e60e1c87647b13d79cbf5c0632a4ef441
City Hotel,SC,TA/TO,e820120f655550b09299eda43f55a87448986588ed747142249d83bd5c933d5b
City Hotel,BB,GDS,12e6d1f0718e63b8090f97f076df0456d174ba80004ab521a349839ac76a0334
City Hotel,BB,Direct,ab126a40c4aa275eebf89dbc0f5f303d005eb65ca4616bb7091279cb78f4f301
City Hotel,HB,TA/TO,50a5f2841d6ebc222b5f841cb51825638bac18cd194622a044a2475256d9c8a6
City Hotel,SC,Direct,1ee550a2b4f58bc5fe502b21bd2ce41fc8eebdd720586ec66727e2496b0660b0
City Hotel,BB,Corporate,b1db172f6368417a8439b918b4d3fd6b32534213a99a70816e5b07b0c2e0e9fb
City Hotel,HB,Corporate,0d54a7a43a2e99539a3004110918b84180f9255f8d106c2adb8878914c214da6
City Hotel,SC,GDS,ed47150df8c24e4aa364efdbbd2a861d5fd57e3310d807572abb51ee8426c4a3
City Hotel,FB,Direct,427a1c6b3734cf60f05deba0de3e0fd6275e934c9492b381d911945c877171b5
