arrival_date,year,month,weekday,time_id
2017-08-11,2017,8,6,0
2016-03-01,2016,3,3,1
2016-04-25,2016,4,2,2
2017-01-06,2017,1,6,3
2015-09-02,2015,9,4,4
2015-12-22,2015,12,3,5
2016-05-03,2016,5,3,6
2016-08-15,2016,8,2,7
2016-08-31,2016,8,4,8
2016-10-03,2016,10,2,9
2016-07-26,2016,7,3,10
2016-01-28,2016,1,5,11
2017-01-27,2017,1,6,12
2017-02-26,2017,2,1,13
2015-09-28,2015,9,2,14
2016-11-08,2016,11,3,15
2017-01-24,2017,1,3,16
2016-07-17,2016,7,1,17
2016-12-19,2016,12,2,18
2016-07-03,2016,7,1,19
2016-08-23,2016,8,3,20
2017-06-29,2017,6,5,21
2015-10-16,2015,10,6,22
2017-02-16,2017,2,5,23
2015-11-02,2015,11,2,24
2015-11-27,2015,11,6,25
2015-12-31,2015,12,5,26
2016-05-26,2016,5,5,27
2016-06-02,2016,6,5,28
2016-02-04,2016,2,5,29
2017-08-18,2017,8,6,30
2017-08-14,2017,8,2,31
2015-08-01,2015,8,7,32
2017-04-09,2017,4,1,33
2016-01-13,2016,1,4,34
2016-09-23,2016,9,6,35
2017-03-28,2017,3,3,36
2017-02-28,2017,2,3,37
2015-10-30,2015,10,6,38
2015-12-29,2015,12,3,39
2016-01-01,2016,1,6,40
2016-04-22,2016,4,6,41
2016-06-16,2016,6,5,42
2016-09-30,2016,9,6,43
2017-08-10,2017,8,5,44
2015-10-13,2015,10,3,45
2016-01-19,2016,1,3,46
2017-06-30,2017,6,6,47
2017-08-19,2017,8,7,48
2015-08-24,2015,8,2,49
2015-09-29,2015,9,3,50
2016-05-09,2016,5,2,51
2016-07-19,2016,7,3,52
2017-01-30,2017,1,2,53
2016-09-15,2016,9,5,54
2017-05-11,2017,5,5,55
2016-02-08,2016,2,2,56
2016-10-07,2016,10,6,57
2016-12-12,2016,12,2,58
2016-05-23,2016,5,2,59
2017-02-10,2017,2,6,60
2017-04-25,2017,4,3,61
2015-09-06,2015,9,1,62
2015-09-21,2015,9,2,63
2015-12-05,2015,12,7,64
2016-09-26,2016,9,2,65
2016-12-13,2016,12,3,66
2016-02-03,2016,2,4,67
2016-03-25,2016,3,6,68
2016-08-26,2016,8,6,69
2017-03-19,2017,3,1,70
2015-11-21,2015,11,7,71
2016-08-01,2016,8,2,72
2016-09-09,2016,9,6,73
2017-05-26,2017,5,6,74
2016-06-17,2016,6,6,75
2017-01-04,2017,1,4,76
2016-09-27,2016,9,3,77
2015-12-30,2015,12,4,78
2016-08-16,2016,8,3,79
2017-06-28,2017,6,4,80
2016-10-23,2016,10,1,81
2015-09-20,2015,9,1,82
2016-04-30,2016,4,7,83
2017-04-03,2017,4,2,84
2017-06-14,2017,6,4,85
2016-07-21,2016,7,5,86
2015-09-15,2015,9,3,87
2015-11-30,2015,11,2,88
2016-05-27,2016,5,6,89
2017-08-22,2017,8,3,90
2017-08-08,2017,8,3,91
2017-04-29,2017,4,7,92
2015-09-04,2015,9,6,93
2016-07-02,2016,7,7,94
2015-09-17,2015,9,5,95
2017-02-07,2017,2,3,96
2016-10-20,2016,10,5,97
2016-08-06,2016,8,7,98
2015-12-06,2015,12,1,99
2016-05-07,2016,5,7,100
2017-01-10,2017,1,3,101
2017-03-17,2017,3,6,102
2015-07-21,2015,7,3,103
2015-08-10,2015,8,2,104
2015-09-10,2015,9,5,105
2015-10-24,2015,10,7,106
2016-04-26,2016,4,3,107
2016-05-13,2016,5,6,108
2016-05-31,2016,5,3,109
2016-08-05,2016,8,6,110
2016-02-22,2016,2,2,111
2016-10-24,2016,10,2,112
2016-10-27,2016,10,5,113
2017-05-10,2017,5,4,114
2016-11-14,2016,11,2,115
2017-01-21,2017,1,7,116
2017-05-09,2017,5,3,117
2016-03-22,2016,3,3,118
2017-07-03,2017,7,2,119
2016-08-20,2016,8,7,120
2016-09-05,2016,9,2,121
2017-04-07,2017,4,6,122
2015-09-07,2015,9,2,123
2016-05-21,2016,5,7,124
2016-12-15,2016,12,5,125
2015-09-09,2015,9,4,126
2015-11-15,2015,11,1,127
2016-05-11,2016,5,4,128
2017-08-04,2017,8,6,129
2016-11-24,2016,11,5,130
2017-06-08,2017,6,5,131
2016-06-22,2016,6,4,132
2017-06-01,2017,6,5,133
2017-01-05,2017,1,5,134
2016-11-25,2016,11,6,135
2016-11-30,2016,11,4,136
2017-08-20,2017,8,1,137
2016-05-28,2016,5,7,138
2016-06-19,2016,6,1,139
2017-04-02,2017,4,1,140
2015-12-17,2015,12,5,141
2017-06-09,2017,6,6,142
2016-03-11,2016,3,6,143
2016-03-27,2016,3,1,144
2016-06-08,2016,6,4,145
2017-04-12,2017,4,4,146
2017-04-11,2017,4,3,147
2016-12-21,2016,12,4,148
2016-11-19,2016,11,7,149
2016-12-20,2016,12,3,150
2015-07-06,2015,7,2,151
2016-06-15,2016,6,4,152
2017-01-13,2017,1,6,153
2015-08-21,2015,8,6,154
2017-03-13,2017,3,2,155
2017-04-20,2017,4,5,156
2017-04-05,2017,4,4,157
2017-02-08,2017,2,4,158
2017-06-15,2017,6,5,159
2016-08-03,2016,8,4,160
2016-07-31,2016,7,1,161
2016-04-04,2016,4,2,162
2016-06-13,2016,6,2,163
2017-02-25,2017,2,7,164
2016-01-11,2016,1,2,165
2017-08-21,2017,8,2,166
2016-12-22,2016,12,5,167
2017-05-21,2017,5,1,168
2015-07-27,2015,7,2,169
2016-04-16,2016,4,7,170
2016-04-18,2016,4,2,171
2016-08-12,2016,8,6,172
2017-03-16,2017,3,5,173
2016-03-14,2016,3,2,174
2015-07-24,2015,7,6,175
2017-04-27,2017,4,5,176
2016-09-22,2016,9,5,177
2016-10-17,2016,10,2,178
2017-05-27,2017,5,7,179
2015-08-02,2015,8,1,180
2015-12-11,2015,12,6,181
2016-08-19,2016,8,6,182
2017-02-01,2017,2,4,183
2015-11-17,2015,11,3,184
2016-04-11,2016,4,2,185
2016-09-14,2016,9,4,186
2017-01-26,2017,1,5,187
2015-11-06,2015,11,6,188
2016-06-29,2016,6,4,189
2015-08-17,2015,8,2,190
2016-03-03,2016,3,5,191
2017-06-19,2017,6,2,192
2017-08-16,2017,8,4,193
2017-01-01,2017,1,1,194
2015-11-08,2015,11,1,195
2016-01-06,2016,1,4,196
2017-04-18,2017,4,3,197
2016-01-05,2016,1,3,198
2017-07-10,2017,7,2,199
2015-11-28,2015,11,7,200
